datasets,0.5,0.7,0.9,RS
jasmine,"(0.18665577889447227, 0.2029015979814971, 63)","(0.19065326633165824, 0.20497328451986352, 67)","(0.17814070351758793, 0.188708999158957, 62)","(0.18815829145728658, 0.2049609162420225, 50)"
philippine,"(0.24925700045904642, 0.23845754453231094, 48)","(0.242905108531707, 0.23741750377264403, 50)","(0.24695783330054422, 0.24362212679969697, 52)","(0.24951800118040512, 0.2457005891585331, 24)"
sylvine,"(0.06467980880059654, 0.06029837592849052, 60)","(0.06351447555766487, 0.06148530502049332, 64)","(0.06555359685402407, 0.05970875823576316, 66)","(0.061467726625534014, 0.05911634283156375, 47)"
